product,product_category
MR VERMOUTH DRY,4
MR VERMOUTH SWEET,4
MR VERMOUTH BIANCO,4
MR VERMOUTH ROSATO,4
NOILLY PRAT DRY NEW,4
NOILLY PRAT SWEET VERMOUTH,4
NOILLY PRAT ROUGE,4
BOISSIERE DRY VERMOUTH,4
BOISSIERE SWEET VERMOUTH,4
CINZANO BIANCO VERMOUTH,4
CINZANO DRY VERMOUTH,4
CINZANO SWEET VERMOUTH,4
STOCK VERMOUTH DRY,4
STOCK VERMOUTH SWEET,4
TRIBUNO DRY VERMOUTH,4
TRIBUNO SWEET VERMOUTH,4
CARPANO ANTICA FORMULA,4
CARPANO PUNT E MES VERMOUTH,4
ACAI DOCE SWEET,3
ACAI SECO DRY,3
FRE SPARKLING,3
FRE CHARDONNAY,1
FRE MERLOT,0
FRE RED BLEND,0
FRE MOSCATO,1
FRE WHITE ZINFANDEL,2
VINTUS SAMPLES,4
BRANCOTT ESTATE CHARDONNAY,1
BRANCOTT ESTATE SAUVIGNON BLANC,1
BRANCOTT ESTATE PINOT NOIR,0
BRANCOTT ESTATE PINOT GRIGIO,1
BRANCOTT ESTATE GEWURZTRAMINER,1
BRANCOTT ESTATE TERRIOR,0
BRANCOTT ESTATE MERLOT,0
BRANCOTT ESTATE CUVEE,3
BRANCOTT ESTATE SPARKLING ROSE,3
CAMPO VIEJO CAVA,3
CAMPO VIEJO CAVA ROSE,3
CAMPO VIEJO TEMPRANILLO,0
CAMPO VIEJO GRAN RESERVA,0
CAMPO VIEJO ROSE,2
CAMPO VIEJO GARNACHA,0
DEADBOLT RED BLEND,0
DEADBOLT WHITE BLEND,1
DOMECQ AMONTILLADO,4
DOMECQ CAPUCHINO,4
DOMECQ LA INA,4
DOMECQ MANZANILLA,4
DOMECQ SIBARITA SECO,4
DOMECQ VENERABLE,4
GH MUMM CARTE CLASSIQUE,3
GH MUMM BRUT ROSE,3
BRANCOTT ESTATE MERLOT CABERNET SAUVIGNON,0
GH MUMM CORDON ROUGE,3
GH MUMM SUPERIOR,3
GRAFFIGNA GRAN RESERVE CABERNET SAUVIGNON,0
GRAFFIGNA GRAN RESERVE MALBEC,0
GRAFFIGNA CENTENARIO CABERNET SAUVIGNON,0
GRAFFIGNA ELEVATED,0
GRAFFIGNA CENTENARIO MALBEC,0
GRAFFIGNA CENTENARIO,0
GRAFFIGNA CENTENARIO PINOT GRIGIO,1
GRAFFIGNA SAN JUAN MALBEC,0
GRAFFIGNA SAN JUAN CABERNET SAUVIGNON,0
GRAFFIGNA SAN JUAN PINOT GRIGIO,1
GRAFFIGNA SAN JUAN SHIRAZ,0
GRAFFIGNA SAN JUAN SHIRAZ CABERNET SAUVIGNON,0
JACOBS CREEK CENTENARY HILL,0
JACOBS CREEK CHARDONNAY,1
JACOBS CREEK ST HUGO,0
JACBOS CREEK STEINGARTEN,1
JACOBS CREEK CABERNET SAUVINGON MERLOT,0
JACOBS CREEK CABERNET SAUVINGON,0
JACBOS CREEK CABERNET SAUVINGON,0
JACOBS CREEK GRENACHE SHIRAZ,0
JACOBS CREEK MERLOT,0
JACOBS CREEK MOSCATO,1
JACOBS CREEK PINOT GRIGIO,1
JACOBS CREEK RED BLEND,0
JACOBS CREEK RIESLING,1
JACOBS CREEK SHIRAZ,0
JACOBS CREEK SHIRAZ CABERENT SAUVIGNON,0
JACOBS CREEK SWEET RED BLEND,0
JACOBS CREEK COOL HARVEST PINOT GRIGIO,1
JACOBS CREEK COOL HARVEST SAUVINGON BLANC,1
JACOBS CREEK COOL HARVEST SHIRAZ,0
